Rank	Username	Total	A	B	C
1	ainta	300	100	100	100
1	rqi	300	100	100	100
1	ppavic	300	100	100	100
1	duality	300	100	100	100
1	lumibons	300	100	100	100
1	mango_lassi	300	100	100	100
7	imeimi	266	100	100	66
8	tatyam	263	63	100	100
9	Geothermal	250	100	50	100
10	AQT	247	100	100	47
10	pllk	247	100	100	47
10	gs14004	247	100	100	47
10	thebes	247	100	100	47
10	staniewzki	247	100	100	47
10	Dorijanko	247	100	100	47
16	xiaowuc1	226	100	100	26
16	kostia244	226	100	100	26
16	tutis	226	100	100	26
16	keko37	226	100	100	26
16	ollpu	226	100	100	26
21	rkm0959	220	100	73	47
22	mohammedehab2002	210	63	100	47
22	darkkcyan	210	63	100	47
24	arnold518	200	100	100	-
24	moonrabbit2	200	100	100	-
24	try_a_try	200	100	100	-
24	dolphingarlic	200	100	100	0
28	VNM13	193	100	67	26
29	Osama_Alkhodairy	166	40	100	26
30	Utaha	163	100	37	26
30	tonowak	163	100	37	26
32	whipppedcream	150	100	50	0
33	hamzqq9	147	100	-	47
33	ryno	147	-	100	47
35	Dormi	139	100	13	26
36	HyunSooKim	131	100	-	31
37	JustasZ	126	-	100	26
37	KevinWan	126	0	100	26
37	SuperJ6	126	100	-	26
37	crxss	126	100	-	26
37	luciocf	126	0	100	26
42	BThero	123	63	13	47
42	miss_robot	123	63	13	47
44	cheissmart	116	40	50	26
44	HNO2	116	40	50	26
44	aaronnaidu	116	40	50	26
47	mjkocijan	113	100	13	0
47	rfpermen	113	100	13	-
49	platter	112	12	100	-
50	UnoK	110	63	-	47
51	wleung_bvg	106	100	6	-
52	i_type_stuff	102	63	13	26
53	test_acc	100	-	100	-
53	rscodes	100	-	100	-
53	nhanbin03	100	100	-	-
53	s0m30n3	100	-	100	-
53	L0TUS	100	100	0	-
53	leejseo	100	100	-	0
53	upsolve	100	100	-	-
53	VNM21	100	-	100	-
53	Ausca	100	100	-	0
53	SKN	100	0	100	-
53	windazz	100	63	37	-
53	inbarwald	100	-	100	-
65	hltk	95	63	6	26
65	eohomegrownapps	95	63	6	26
67	baluteshih	88	28	13	47
67	TheRedstar	88	51	37	-
69	groeneprof	83	51	6	26
70	LeviHeichou	78	28	50	0
70	SamNguyen	78	28	50	-
72	phathnv	76	0	50	26
73	willthebill	72	40	6	26
74	Bntti	67	28	13	26
75	SOIVIEONE	64	51	13	-
76	my99n	63	63	-	0
76	reversal	63	63	-	-
76	Huntercam	63	63	-	-
76	Puddlestomps	63	63	0	-
76	arshiamoeini	63	63	-	-
76	junie	63	63	-	-
82	Apiram	60	28	6	26
83	Jalilvand.mj	57	51	6	-
84	Toirov_Sadi	54	0	7	47
85	denis2111	51	51	0	-
85	moondemon68	51	51	0	-
85	petar.vitorac	51	12	13	26
88	Benq	50	-	-	50
88	Aldas25	50	-	50	-
88	npc_183	50	40	-	10
88	OwenUltima	50	-	50	-
92	juancarlovieri3	47	40	7	-
92	amiratou	47	40	7	-
94	MostafaHuhn	43	-	43	-
94	Memat	43	-	43	-
96	SSYernar	39	-	13	26
96	thtsshz_bgwrswh	39	0	13	26
96	HediBenDaoud	39	0	13	26
96	ElyesChaabouni	39	-	13	26
100	student1	38	12	0	26
101	eggag32	37	-	37	-
102	galca	34	28	6	-
103	crackersamdjam	30	-	30	-
104	Mazaalai	28	28	0	-
104	humbertoyusta	28	28	0	-
106	Myldero	27	-	6	21
107	badrangiikh	26	-	-	26
107	hoou8547	26	-	-	26
107	EMEJ	26	-	-	26
107	Khangal.B	26	-	-	26
111	youssefboughizane	25	12	13	-
112	tonowak_upsolving	17	-	17	-
113	VNM24	13	-	13	-
113	wlz	13	0	13	0
113	ChrisT	13	-	13	-
113	Lucina	13	-	13	-
113	dxz05	13	-	13	-
113	armin.atarod	13	0	13	-
119	farhan132	12	12	-	-
120	kjhumyuth	7	-	7	-
120	DovydasVad	7	-	7	-
120	KerakTelor	7	-	7	-
120	Jarif_Rahman	7	0	7	-
124	anachor	6	-	6	-
124	Joseph	6	-	6	-
124	Yotsuba.Koiwai	6	0	6	-
124	abdul_rafiii	6	0	6	-
124	IsaqovX	6	-	6	-
129	hirenganesh	0	0	0	0
129	aboodhaymouni	0	0	0	0
129	bobbysusanto	0	0	0	-
129	tamurin	0	-	0	0
129	limabeans	0	0	0	-
129	astha06	0	0	0	-
129	Howard	0	0	-	-
129	adia	0	0	-	-
129	tangent42	0	-	0	-
129	junseo	0	-	0	-
129	Danil_Pechkin_RUS	0	0	-	-
129	forza_viola	0	-	0	-
129	monstercube	0	-	0	-
129	bryan.noel	0	0	-	-
129	jiojutsumaster	0	-	0	-
129	VNM16	0	-	0	-
129	Mon06	0	0	-	-
129	syy	0	-	0	-
129	xuanji	0	0	-	-
129	unuinuji	0	-	0	-
129	halimkevin	0	-	0	-
129	EJOI_IOI	0	-	0	-
129	gwynethgbl	0	-	0	-
129	Tahmid690	0	0	-	-
129	Edbert2397	0	-	0	-
129	SGP12	0	0	-	-
129	ivandasfs	0	-	-	0
129	NoWar	0	-	0	-
129	AVM.Martin	0	-	-	0
129	Khongor	0	0	-	-
129	Hui	0	-	0	-
129	danielcm585	0	0	-	-
129	Ghost6664	0	0	-	-
129	varunragu23	0	-	0	-
129	urd05	0	0	-	-
129	AS.82	0	-	0	-
129	Reinz	0	-	-	-
129	Ibraheem_Qandeel	0	-	-	-
129	bingo	0	-	-	-
129	shicharles2	0	-	-	-
129	mahmoudbadawy	0	-	-	-
129	ksun48	0	-	-	-
129	M1nX	0	-	-	-
129	apostoldaniel854	0	-	-	-
129	sazid.alam	0	-	-	-
129	yomapeed	0	-	-	-
129	jangar715	0	-	-	-
129	Goodwill_Lion	0	-	-	-
129	BaBoy	0	-	-	-
129	joacru	0	-	-	-
129	asdfasfas	0	-	-	-
129	AbrarShahid	0	-	-	-
129	VahrazKabir	0	-	-	-
129	YongFu	0	-	-	-
129	Marvin180399	0	-	-	-
129	Mahmudul_Kabir	0	-	-	-
129	jtnydv25	0	-	-	-
129	lelouvincx	0	-	-	-
129	greenbinjack	0	-	-	-
129	zoooma13	0	-	-	-
129	doaldo_	0	-	-	-
129	Gilgamesh	0	-	-	-
129	csqrd	0	-	-	-
129	Peter	0	-	-	-
129	Professor_A	0	-	-	-
129	Kevin040119	0	-	-	-
129	ariel_23052005	0	-	-	-
129	Akiko	0	-	-	-
129	prajjwal07	0	-	-	-
129	Mefi22	0	-	-	-
129	alexwsaputra	0	-	-	-
129	Petro1488	0	-	-	-
129	sherlockjack	0	-	-	-
129	misterok	0	-	-	-
129	schyres	0	-	-	-
129	zoel_fiansyah	0	-	-	-
129	alireza	0	-	-	-
129	Spark_Mark05	0	-	-	-
129	mhbtz1	0	-	-	-
129	gambit	0	-	-	-
129	zipdang04	0	-	-	-
129	tu17082003	0	-	-	-
129	ZaidanY	0	-	-	-
129	Aaeria	0	-	-	-
129	visho33	0	-	-	-
129	vipgaech	0	-	-	-
129	OmarMahin	0	-	-	-
129	Hohenheim20	0	-	-	-
129	ladoshkina_n	0	-	-	-
129	aay	0	-	-	-
129	HoJoonRyou	0	-	-	-
129	vierifajar	0	-	-	-
129	Ryute	0	-	-	-
129	gznpp	0	-	-	-
129	Hajer_Qandeel	0	-	-	-
129	mar_cellof	0	-	-	-
129	PhoenixThunder2020	0	-	-	-
129	sami	0	-	-	-
129	nishantg31	0	-	-	-
129	hung3a8	0	-	-	-
129	Irischrome	0	-	-	-
129	c_handler	0	-	-	-
129	flyleaf	0	-	-	-
129	jubayerahmed	0	-	-	-
129	shihan04	0	-	-	-
129	Hello1234	0	-	-	-
129	Awsaf	0	-	-	-
129	Mash_27	0	-	-	-
129	Yo_S_iN	0	-	-	-
129	Nahian96	0	-	-	-
129	vistokartika	0	-	-	-
129	123martin	0	-	-	-
129	KevinJK	0	-	-	-
129	Matthew_Allan	0	-	-	-
129	amiralisalimi	0	-	-	-
129	yeah	0	-	-	-
129	AKK	0	-	-	-
129	buihn	0	-	-	-
129	Mohamed.Sobhy	0	-	-	-
129	Mel1odas	0	-	-	-
129	n0oO0o0Ob	0	-	-	-
129	Mansurbek	0	-	-	-
129	NicPascual	0	-	-	-
129	Jrasko	0	-	-	-
129	albertolg101	0	-	-	-
129	darma603	0	-	-	-
129	conan_0	0	-	-	-
129	Bobojoky	0	-	-	-
129	Imtiaz_Rafi	0	-	-	-
129	tumaryui	0	-	-	-
129	Undefine	0	-	-	-
129	simanjuntak123	0	-	-	-
129	SrijonKumar	0	-	-	-
129	radah1823	0	-	-	-
129	varrelm	0	-	-	-
129	usre404	0	-	-	-
129	letsee	0	-	-	-
129	suljoolove	0	-	-	-
129	Sifat_Tahsin_Azad	0	-	-	-
129	dracarys2421	0	-	-	-
129	AndreaSonic	0	-	-	-
129	Johgfyij	0	-	-	-
129	shivensinha4	0	-	-	-
129	teguhmuhams	0	-	-	-
129	akumahappanatuh	0	-	-	-
129	zcgzcgzcg	0	-	-	-
129	alwyn.tandiono	0	-	-	-
129	antimathmathclub	0	-	-	-
129	codevalley	0	-	-	-
129	nameless	0	-	-	-
129	0ReiZeroNol	0	-	-	-
129	Leonardo_Paes	0	-	-	-
129	ayushi27	0	-	-	-
129	Jess3N	0	-	-	-
129	Irmuun.Ch	0	-	-	-
129	Required	0	-	-	-
129	yunjaekid	0	-	-	-
129	d_OwO_b	0	-	-	-
129	FelixDzerzhinsky	0	-	-	-
129	abch	0	-	-	-
129	uereguiehuibhu	0	-	-	-
129	VinsenN	0	-	-	-
129	hextahp	0	-	-	-
129	dat160601	0	-	-	-
129	caoash	0	-	-	-
129	maxflow	0	-	-	-
129	oora	0	-	-	-
129	wdk1745	0	-	-	-
129	zimpha	0	-	-	-
129	davooddkareshki	0	-	-	-
129	SilentIslanD	0	-	-	-
129	retawB	0	-	-	-
129	AugustoDipNiloy	0	-	-	-
129	ryan_nolly	0	-	-	-
129	MohamedAhmed04	0	-	-	-
129	rootEthan	0	-	-	-
129	Dewitsabita123_	0	-	-	-
129	Belajar_Programming	0	-	-	-
129	GODFATHER	0	-	-	-
129	root__786	0	-	-	-
129	Muzammal_Hossain	0	-	-	-
129	bowo_alpenliebe	0	-	-	-
129	Pouya	0	-	-	-
129	bubu2006	0	-	-	-
129	Freezy	0	-	-	-
129	user123456	0	-	-	-
129	baiuterfk	0	-	-	-
129	Hooded_Hood	0	-	-	-
129	Practice	0	-	-	-
129	zaharya	0	-	-	-
129	tlalt	0	-	-	-
129	saljaevaluba	0	-	-	-
129	KOR20	0	-	-	-
129	N_o_o_B	0	-	-	-
129	parsa333111	0	-	-	-
129	devoob	0	-	-	-
129	athin	0	-	-	-
129	Karliver	0	-	-	-
129	AlmightyJ	0	-	-	-
129	pavement	0	-	-	-
129	dg2004	0	-	-	-
129	bleh	0	-	-	-
129	Dweik	0	-	-	-
129	braviodambe	0	-	-	-
129	mus.ang	0	-	-	-
129	Doleh	0	-	-	-
129	fffao	0	-	-	-
129	rudrakaniya	0	-	-	-
129	98943mek	0	-	-	-
129	NADIDADIT	0	-	-	-
129	Reduan	0	-	-	-
129	farhanjbg	0	-	-	-
129	VeritosHD	0	-	-	-
129	user123	0	-	-	-
129	gaopeiqi	0	-	-	-
129	SuChanPark	0	-	-	-
